NO,company,code,YEAR,EY,ind_code,industry,market,asset,liability,equity,sale,earning,advertising
25,(주)MH에탄올,23150,2000,1978,31101,  음료 제조업,1,41556095,15697113,25858982,21305271,736431,6577
26,(주)MH에탄올,23150,2001,1978,31101,  음료 제조업,1,46365419,18836992,27528427,23832170,733444,4250
27,(주)MH에탄올,23150,2002,1978,31101,  음료 제조업,1,40621872,12580205,28041667,26670926,1055031,4226
28,(주)MH에탄올,23150,2003,1978,31101,  음료 제조업,1,45918577,14214377,31704199,29606383,3460463,2540
29,(주)MH에탄올,23150,2004,1978,31101,  음료 제조업,1,50811625,15555691,35255935,33230451,4956177,6000
30,(주)MH에탄올,23150,2005,1978,31101,  음료 제조업,1,49187808,15209878,33977930,35973518,3734190,52783
31,(주)MH에탄올,23150,2006,1978,31101,  음료 제조업,1,56528651,22125504,34403146,39046904,1864552,74620
32,(주)MH에탄올,23150,2007,1978,31101,  음료 제조업,1,62818445,26220973,36597472,40144655,3468530,24000
33,(주)MH에탄올,23150,2008,1978,31101,  음료 제조업,1,86452344,52009351,34442994,43176371,-6464280,177680
34,(주)MH에탄올,23150,2009,1978,31101,  음료 제조업,1,111123888,66027591,45096297,43824891,1317046,8400
35,(주)MH에탄올,23150,2010,1978,31101,  음료 제조업,1,114575923,72006188,42569735,43304589,-1208010,7925
36,(주)MH에탄올,23150,2011,1978,31101,  음료 제조업,1,135927085,79765833,56161251,43206995,3351943,5100
37,(주)MH에탄올,23150,2012,1978,31101,  음료 제조업,1,139200817,80487873,58712944,45488675,2571700,5250
38,(주)MH에탄올,23150,2013,1978,31101,  음료 제조업,1,122520742,75400817,47119925,46298516,-11627211,7441
39,(주)S&TC,100840,2008,2008,32901,  기타 기계 및 장비 제조업,1,217486444,71705695,145780749,200451563,30418805,67089
40,(주)S&TC,100840,2009,2008,32901,  기타 기계 및 장비 제조업,1,296434329,124173975,172260354,182779061,35404449,82550
41,(주)S&TC,100840,2010,2008,32901,  기타 기계 및 장비 제조업,1,252522573,85822674,166699899,213830405,2774348,8248
42,(주)S&TC,100840,2011,2008,32901,  기타 기계 및 장비 제조업,1,276511841,115915976,160595865,195318747,-4155767,21358
43,(주)S&TC,100840,2012,2008,32901,  기타 기계 및 장비 제조업,1,292802033,109495724,183306309,230707564,9087721,6231
44,(주)S&TC,100840,2013,2008,32901,  기타 기계 및 장비 제조업,1,311675279,113510608,198164671,200750984,16189688,9620
80,(주)SIMPAC,9160,2000,1973,32902,  기타 기계 및 장비 제조업,1,75648581,46339537,29309043,63886619,1469697,86933
81,(주)SIMPAC,9160,2001,1973,32902,  기타 기계 및 장비 제조업,1,81803602,52422396,29381206,43890705,-5183338,93646
82,(주)SIMPAC,9160,2002,1973,32902,  기타 기계 및 장비 제조업,1,77824530,48338154,29486375,53229818,110072,172127
83,(주)SIMPAC,9160,2003,1973,32902,  기타 기계 및 장비 제조업,1,85705262,52650207,33055055,77407065,3544718,54120
84,(주)SIMPAC,9160,2004,1973,32902,  기타 기계 및 장비 제조업,1,81538325,44727836,36810489,83636243,5436522,50866
85,(주)SIMPAC,9160,2005,1973,32902,  기타 기계 및 장비 제조업,1,98351320,53429876,44921444,89810087,7576339,41821
86,(주)SIMPAC,9160,2006,1973,32902,  기타 기계 및 장비 제조업,1,103516327,51097469,52418859,107092299,8664647,279227
87,(주)SIMPAC,9160,2007,1973,32902,  기타 기계 및 장비 제조업,1,125936098,57006899,68929199,110683524,12259293,53610
88,(주)SIMPAC,9160,2008,1973,32902,  기타 기계 및 장비 제조업,1,165451607,73105291,92346316,131802333,25508618,301605
89,(주)SIMPAC,9160,2009,1973,32902,  기타 기계 및 장비 제조업,1,176978453,72798495,104179958,122548677,13692827,39684
90,(주)SIMPAC,9160,2010,1973,32902,  기타 기계 및 장비 제조업,1,246340241,116728307,129611934,180593108,20122186,140662
91,(주)SIMPAC,9160,2011,1973,32902,  기타 기계 및 장비 제조업,1,296953131,141119807,155833324,213867522,21196377,96534
92,(주)SIMPAC,9160,2012,1973,32902,  기타 기계 및 장비 제조업,1,307366684,129536202,177830482,223854758,22517068,485000
93,(주)SIMPAC,9160,2013,1973,32902,  기타 기계 및 장비 제조업,1,349836891,151936024,197900866,204527751,19196136,101314
144,(주)강원랜드,35250,2003,1998,189102,  스포츠 및 오락관련 서비스업,1,1078515534,220116831,858398702,677131541,229690326,3305472
145,(주)강원랜드,35250,2004,1998,189102,  스포츠 및 오락관련 서비스업,1,1318309909,250995836,1067314072,764113464,271233488,3015591
146,(주)강원랜드,35250,2005,1998,189102,  스포츠 및 오락관련 서비스업,1,1525389753,265559107,1259830645,846961875,299087521,3442369
147,(주)강원랜드,35250,2006,1998,189102,  스포츠 및 오락관련 서비스업,1,1711966818,328798866,1383167952,869495601,247935896,6716433
148,(주)강원랜드,35250,2007,1998,189102,  스포츠 및 오락관련 서비스업,1,2022203780,452783362,1569420419,1066507237,292776710,11272740
149,(주)강원랜드,35250,2008,1998,189102,  스포츠 및 오락관련 서비스업,1,2076415220,445042331,1631372889,1149282882,309254549,13511215
150,(주)강원랜드,35250,2009,1998,189102,  스포츠 및 오락관련 서비스업,1,2386535399,496820744,1889714656,1206658712,390000453,17608043
151,(주)강원랜드,35250,2010,1998,189102,  스포츠 및 오락관련 서비스업,1,2609744946,508617472,2101127474,1313682568,421784663,22964753
152,(주)강원랜드,35250,2011,1998,189102,  스포츠 및 오락관련 서비스업,1,2730283806,452081605,2278202202,1263651213,393401121,16610767
153,(주)강원랜드,35250,2012,1998,189102,  스포츠 및 오락관련 서비스업,1,2915385756,532225153,2383160603,1292896121,296503993,19532251
154,(주)강원랜드,35250,2013,1998,189102,  스포츠 및 오락관련 서비스업,1,3105430200,581467261,2523962938,1356906162,293129468,18225308
170,(주)경농,2100,2000,1957,32004,  화학물질 및 화학제품 제조업;의약품 제외,1,152881810,73869008,79012803,111430975,4477985,1340010
171,(주)경농,2100,2001,1957,32004,  화학물질 및 화학제품 제조업;의약품 제외,1,161413954,77875793,83538160,113717106,5939117,1295638
172,(주)경농,2100,2002,1957,32004,  화학물질 및 화학제품 제조업;의약품 제외,1,162207860,72710906,89496954,110611997,6061997,1589076
173,(주)경농,2100,2003,1957,32004,  화학물질 및 화학제품 제조업;의약품 제외,1,154250614,65513794,88736821,106388427,498224,1850116
174,(주)경농,2100,2004,1957,32004,  화학물질 및 화학제품 제조업;의약품 제외,1,149071464,55600912,93470552,112605662,4602613,2244717
175,(주)경농,2100,2005,1957,32004,  화학물질 및 화학제품 제조업;의약품 제외,1,162897482,61244931,101652551,118473763,8980291,3363184
176,(주)경농,2100,2006,1957,32004,  화학물질 및 화학제품 제조업;의약품 제외,1,173202811,62589796,110613014,122144956,13294917,3621347
177,(주)경농,2100,2007,1957,32004,  화학물질 및 화학제품 제조업;의약품 제외,1,177609593,54513133,123096461,128992027,15008448,3709730
178,(주)경농,2100,2008,1957,32004,  화학물질 및 화학제품 제조업;의약품 제외,1,200945613,63071440,137874173,140801593,11567598,3815034
179,(주)경농,2100,2009,1957,32004,  화학물질 및 화학제품 제조업;의약품 제외,1,197625886,51390199,146235687,149831874,16775692,3930523
180,(주)경농,2100,2010,1957,32004,  화학물질 및 화학제품 제조업;의약품 제외,1,200356833,48155177,152201657,143042882,9299526,3688779
181,(주)경농,2100,2011,1957,32004,  화학물질 및 화학제품 제조업;의약품 제외,1,176741869,30724888,146016982,120728258,3154155,4107654
182,(주)경농,2100,2012,1957,32004,  화학물질 및 화학제품 제조업;의약품 제외,1,203467698,51967451,151500247,131021366,6590012,3618270
