,Name,Sex,Year,Last_Status,VT_BW
0,Miniature Pinscher,1,7.0,0,6.46
1,Shih Tzu,2,2.0,0,5.5
3,Pomeranian,3,9.0,0,7.4
4,Pomeranian,3,10.0,0,7.26
5,Yorkshire Terrier,4,8.0,0,2.81
6,Yorkshire Terrier,4,8.0,0,2.88
7,Yorkshire Terrier,4,8.0,0,3.01
8,Yorkshire Terrier,4,8.0,0,3.09
9,Yorkshire Terrier,4,8.0,0,3.03
10,Yorkshire Terrier,4,8.0,0,3.05
11,Yorkshire Terrier,4,8.0,0,3.18
12,Yorkshire Terrier,4,8.0,0,3.2
13,Yorkshire Terrier,4,8.0,0,3.22
14,Yorkshire Terrier,4,8.0,0,3.07
15,Yorkshire Terrier,3,4.0,0,4.4
16,Yorkshire Terrier,3,4.0,0,4.3
17,Yorkshire Terrier,3,4.0,0,4.26
18,Yorkshire Terrier,3,9.0,0,4.3
19,Yorkshire Terrier,3,9.0,0,4.5
20,Yorkshire Terrier,3,9.0,0,4.5
21,Yorkshire Terrier,3,11.0,0,4.28
22,Shih Tzu,1,5.0,2,4.94
23,Shih Tzu,1,7.0,2,5.5
24,Shih Tzu,1,8.0,2,5.53
25,Shih Tzu,1,8.0,2,5.59
26,Shih Tzu,1,9.0,2,5.69
27,Shih Tzu,1,9.0,2,5.69
28,Shih Tzu,1,9.0,2,5.46
29,Shih Tzu,1,9.0,2,5.23
30,Shih Tzu,1,10.0,2,4.9
31,Shih Tzu,1,10.0,2,4.8
32,Shih Tzu,1,11.0,2,5.0
33,Shih Tzu,1,11.0,2,5.09
34,Shih Tzu,1,11.0,2,5.0
35,Shih Tzu,1,11.0,2,5.09
36,Shih Tzu,1,11.0,2,4.98
37,Shih Tzu,1,11.0,2,4.9
38,Shih Tzu,1,11.0,2,4.98
39,Shih Tzu,1,12.0,2,5.17
40,Shih Tzu,1,12.0,2,4.69
41,Shih Tzu,1,12.0,2,4.69
42,Shih Tzu,1,13.0,2,4.69
43,Shih Tzu,1,13.0,2,4.59
44,Shih Tzu,1,13.0,2,3.7
45,Shih Tzu,1,13.0,2,3.7
46,Shih Tzu,1,13.0,2,3.3
47,Shih Tzu,1,13.0,2,3.58
48,Shih Tzu,3,6.0,0,9.38
49,Poodle,2,3.0,0,3.4
50,Miniature Schnauzer,1,3.0,0,4.44
51,Miniature Schnauzer,1,4.0,0,4.76
52,Miniature Schnauzer,1,4.0,0,4.5
53,Miniature Schnauzer,1,5.0,0,4.82
54,Miniature Schnauzer,1,5.0,0,5.0
55,Miniature Schnauzer,1,6.0,0,5.19
56,Miniature Schnauzer,1,7.0,0,5.0
57,Chihuahua,4,1.0,0,1.89
58,Chihuahua,4,1.0,0,1.79
63,Yorkshire Terrier,3,1.0,0,4.07
64,Yorkshire Terrier,3,2.0,0,4.4
65,Yorkshire Terrier,3,7.0,0,6.55
66,Yorkshire Terrier,3,7.0,0,5.8
67,Yorkshire Terrier,3,8.0,0,6.19
68,Yorkshire Terrier,3,8.0,0,5.8
69,Yorkshire Terrier,3,8.0,0,5.59
70,Shih Tzu,1,6.0,0,6.69
71,Yorkshire Terrier,4,10.0,2,1.34
72,Yorkshire Terrier,4,10.0,2,1.27
73,Yorkshire Terrier,4,10.0,2,1.34
74,Yorkshire Terrier,4,10.0,2,1.5
75,Yorkshire Terrier,4,10.0,2,1.39
76,Yorkshire Terrier,4,10.0,2,1.48
77,Yorkshire Terrier,4,10.0,2,1.5
78,Yorkshire Terrier,4,10.0,2,1.5
79,Yorkshire Terrier,4,10.0,2,1.62
80,Yorkshire Terrier,4,10.0,2,1.67
81,Yorkshire Terrier,4,10.0,2,1.58
82,Yorkshire Terrier,4,11.0,2,1.25
83,Yorkshire Terrier,4,11.0,2,1.29
84,Yorkshire Terrier,4,11.0,2,1.37
85,Yorkshire Terrier,4,11.0,2,1.32
86,Yorkshire Terrier,4,11.0,2,1.29
87,Yorkshire Terrier,4,11.0,2,1.34
88,Yorkshire Terrier,4,11.0,2,1.32
89,Yorkshire Terrier,4,11.0,2,1.29
90,Yorkshire Terrier,4,11.0,2,1.27
91,Yorkshire Terrier,4,11.0,2,1.36
92,Yorkshire Terrier,4,11.0,2,1.44
93,Yorkshire Terrier,4,11.0,2,1.5
94,Yorkshire Terrier,4,12.0,2,1.37
95,Yorkshire Terrier,4,12.0,2,1.37
96,Yorkshire Terrier,4,12.0,2,1.5
97,Yorkshire Terrier,4,12.0,2,1.46
98,Yorkshire Terrier,4,12.0,2,1.63
99,Yorkshire Terrier,4,12.0,2,1.63
100,Yorkshire Terrier,4,12.0,2,1.62
101,Yorkshire Terrier,4,13.0,2,1.6
102,Yorkshire Terrier,4,14.0,2,1.27
103,Yorkshire Terrier,4,14.0,2,1.36
104,Yorkshire Terrier,4,14.0,2,1.32
105,Yorkshire Terrier,4,14.0,2,1.34
106,Yorkshire Terrier,4,14.0,2,1.25
107,Poodle,2,4.0,0,0.0
108,Poodle,2,5.0,0,4.65
109,Poodle,2,5.0,0,4.3
110,Poodle,2,5.0,0,4.0
111,Poodle,2,5.0,0,4.28
112,Poodle,2,6.0,0,4.15
113,Poodle,2,6.0,0,4.38
114,Poodle,2,8.0,0,4.8
115,Poodle,2,8.0,0,4.9
116,Poodle,2,8.0,0,4.76
117,Poodle,2,8.0,0,5.01
118,Poodle,2,8.0,0,5.0
119,Poodle,2,13.0,0,5.3
120,Poodle,2,13.0,0,5.6
121,Poodle,2,13.0,0,5.1
122,Poodle,2,14.0,0,5.2
123,Poodle,2,14.0,0,5.4
124,Poodle,2,14.0,0,5.38
125,Poodle,2,14.0,0,5.0
126,Poodle,2,14.0,0,4.6
127,Poodle,2,15.0,0,4.9
128,Poodle,2,15.0,0,5.0
129,Poodle,2,16.0,0,5.0
130,Poodle,2,16.0,0,5.1
131,Poodle,2,16.0,0,5.1
132,Poodle,2,16.0,0,4.9
133,Shih Tzu,3,5.0,0,5.4
134,Shih Tzu,3,7.0,0,5.69
135,Shih Tzu,3,8.0,0,5.19
136,Shih Tzu,3,10.0,0,5.4
137,Shih Tzu,3,11.0,0,5.57
138,Shih Tzu,3,11.0,0,5.44
139,Shih Tzu,3,12.0,0,5.3
140,Shih Tzu,3,12.0,0,5.3
141,Shih Tzu,3,12.0,0,5.0
142,Shih Tzu,3,13.0,0,4.9
143,Shih Tzu,3,14.0,0,4.7
144,Poodle,2,2.0,0,2.0
145,Poodle,2,6.0,0,2.2
146,Yorkshire Terrier,3,5.0,2,5.19
147,Yorkshire Terrier,3,5.0,2,5.19
148,Yorkshire Terrier,3,5.0,2,5.05
149,Yorkshire Terrier,3,6.0,2,5.5
150,Yorkshire Terrier,3,6.0,2,5.5
151,Yorkshire Terrier,3,8.0,2,5.46
152,Yorkshire Terrier,3,8.0,2,5.19
153,Yorkshire Terrier,3,10.0,2,4.98
154,Yorkshire Terrier,3,10.0,2,5.21
155,Yorkshire Terrier,3,11.0,2,5.19
156,Yorkshire Terrier,3,11.0,2,5.5
157,Yorkshire Terrier,3,12.0,2,5.61
158,Yorkshire Terrier,3,13.0,2,5.55
159,Yorkshire Terrier,1,13.0,0,10.0
160,Yorkshire Terrier,1,13.0,0,8.6
161,Yorkshire Terrier,1,13.0,0,7.0
162,Yorkshire Terrier,1,13.0,0,7.0
163,Yorkshire Terrier,1,13.0,0,6.59
164,Yorkshire Terrier,1,13.0,0,6.59
165,Yorkshire Terrier,1,13.0,0,6.6
166,Yorkshire Terrier,1,13.0,0,7.1
167,Yorkshire Terrier,1,13.0,0,7.2
168,Miniature Schnauzer,4,11.0,0,6.55
169,Miniature Schnauzer,4,11.0,0,6.69
170,Miniature Schnauzer,4,11.0,0,6.19
171,Miniature Schnauzer,4,12.0,0,5.82
172,Yorkshire Terrier,2,12.0,0,4.4
173,Yorkshire Terrier,2,12.0,0,4.46
174,Yorkshire Terrier,2,12.0,0,4.0
175,Yorkshire Terrier,2,12.0,0,3.59
176,Yorkshire Terrier,2,13.0,0,3.74
177,Yorkshire Terrier,2,13.0,0,3.75
178,Yorkshire Terrier,2,13.0,0,3.83
179,Yorkshire Terrier,2,13.0,0,3.74
180,Yorkshire Terrier,2,13.0,0,3.24
